"Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","Resultado_T_V_M_L","Resultado_T_T_L"
1503960366,2016-03-25,11004,7.1100001335144,7.1100001335144,0,2.5699999332428,0.46000000834465,4.07000017166138,0,33,12,205,804,1819,0.0100000202655703,0
1503960366,2016-03-26,17609,11.5500001907349,11.5500001907349,0,6.92000007629395,0.730000019073486,3.91000008583069,0,89,17,274,588,2154,-0.00999999046322486,0
1503960366,2016-03-27,12736,8.52999973297119,8.52999973297119,0,4.65999984741211,0.159999996423721,3.71000003814697,0,56,5,268,605,1944,-1.49011611938477e-07,0
1503960366,2016-03-28,13231,8.93000030517578,8.93000030517578,0,3.19000005722046,0.790000021457672,4.94999980926514,0,39,20,224,1080,1932,4.17232508098664e-07,0
1503960366,2016-03-29,12041,7.84999990463257,7.84999990463257,0,2.16000008583069,1.0900000333786,4.6100001335144,0,28,28,243,763,1886,-0.0100003480911193,0
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,-6.21724893790088e-15,0
1503960366,2016-04-03,10016,6.36999988555908,6.36999988555908,0,0.910000026226044,1.27999997138977,4.17999982833862,0,15,30,314,655,1850,5.9604645663569e-08,0
1503960366,2016-04-04,14557,9.80000019073486,9.80000019073486,0,3.39000010490417,0.699999988079071,5.69000005722046,0,43,18,285,757,2030,0.0200000405311584,0
1503960366,2016-04-05,14844,9.72999954223633,9.72999954223633,0,2.94000005722046,0.759999990463257,6.03999996185303,0,36,18,341,736,2083,-0.0100004673004168,0
1503960366,2016-04-06,11974,7.67000007629395,7.67000007629395,0,2.03999996185303,0.479999989271164,5.15000009536743,0,27,12,228,1173,1861,2.9802325940409e-08,0
1503960366,2016-04-07,10198,6.44000005722046,6.44000005722046,0,1.20000004768372,0.790000021457672,4.44999980926514,0,17,20,195,1208,1755,1.78813928108923e-07,0
1503960366,2016-04-08,12521,7.94000005722046,7.94000005722046,0,3.30999994277954,0.899999976158142,3.74000000953674,0,46,22,212,1160,1895,-0.00999987125396284,0
